Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	6000691,000000	43,120762	0,92s	0,43s	10
N. Ejecución	Resultado
1	6000770
2	6000622
3	6000700
4	6000694
5	6000709
6	6000721
7	6000697
8	6000616
9	6000675
10	6000710

PAPI_L2_DCM	568468,000000	50,519302	0,92s	0,43s	10
N. Ejecución	Resultado
1	568529
2	568528
3	568420
4	568480
5	568450
6	568384
7	568534
8	568455
9	568490
10	568410

